timestamp;Kecapatan Udara m/s;Suhu Ruangan °C;MRT °C;%RH;Cloting (Perempuan);Cloting (Laki-laki);Activty;Jumlah orang;PMV Terukur;PMV Terukur h-5;PMV Terukur h-10;PMV Gform
24/06/2024 08:00;0.03;24;24.4;64.3;0.5197;0.4983;1.1;1;1;1;1;1
24/06/2024 08:05;0.04;24.1;24.4;64.3;0.5197;0.4983;1.1;1;1;1;1;1
24/06/2024 08:10;0.07;24.5;24.8;65.1;0.5197;0.4983;1.1;1;1;1;1;1
24/06/2024 08:15;0.03;24.8;25.1;66.7;0.5197;0.4983;1.1;1;1.9;1;1;1
24/06/2024 08:20;0.06;24.9;25;68.8;0.5197;0.4983;1.1;1;1.8;1.9;1;1
24/06/2024 08:25;0.05;25;25.1;67.8;0.5197;0.4983;1.1;1;1.8;1.8;1.9;1
24/06/2024 08:30;0.08;25.2;25.3;69.3;0.5197;0.4983;1.1;1;1.7;1.8;1.8;1
24/06/2024 08:35;0.04;25.2;25.2;70.1;0.5197;0.4983;1.1;1;1.7;1.7;1.8;1
24/06/2024 08:40;0.08;25.3;25.5;68.2;0.5197;0.4983;1.1;1;1.6;1.7;1.7;1
24/06/2024 08:45;0.06;25.3;25.6;68.3;0.5197;0.4983;1.1;1;1.6;1.6;1.7;1
24/06/2024 08:50;0.08;25.5;25.4;69.2;0.5197;0.4983;1.1;1;1.7;1.6;1.6;1
24/06/2024 08:55;0.07;25.8;25.9;68.1;0.5197;0.4983;1.1;1;1.6;1.7;1.6;1
24/06/2024 09:00;0.09;25.8;25.9;68.7;0.5197;0.4983;1.1;1;1.5;1.6;1.7;1
24/06/2024 09:05;0.04;26;26.2;68.2;0.5197;0.4983;1.1;1;1;1.5;1.6;1
24/06/2024 09:10;0.06;26;26.2;68.2;0.5197;0.4983;1.1;1;-1.4;1;1.5;-1
24/06/2024 09:15;0.05;26;26.2;68.8;0.5197;0.4983;1.1;1;-1.4;-1.4;1;-1
24/06/2024 09:20;0.03;25.7;26.1;67.5;0.5197;0.4983;1.1;1;-1.5;-1.4;-1.4;-1
24/06/2024 09:25;0.04;25;25.6;63.5;0.5197;0.4983;1.1;1;-1.6;-1.5;-1.4;-1
24/06/2024 09:30;0.08;24.3;25.1;62.2;0.5197;0.4983;1.1;1;-1.7;-1.6;-1.5;-1
24/06/2024 09:35;0.05;24.5;24.8;60;0.5197;0.4983;1.1;1;-1.9;-1.7;-1.6;-1
24/06/2024 09:40;0.02;23.2;24.4;58.3;0.5197;0.4983;1.1;1;-2;-1.9;-1.7;-1
24/06/2024 09:45;0.12;23.1;24.2;56.6;0.5197;0.4983;1.1;1;-2.1;-2;-1.9;-1
24/06/2024 09:50;0.09;23.1;24.2;56.4;0.5197;0.4983;1.1;1;-2;-2.1;-2;-1
24/06/2024 09:55;0.07;23.9;24.7;60.2;0.5197;0.4983;1.1;2;-1.5;-2;-2.1;-1
24/06/2024 10:00;0.05;24.2;24.8;61.3;0.5197;0.4983;1.1;2;-1.5;-1.5;-2;-1
24/06/2024 10:05;0.16;24.9;25.4;64.9;0.5197;0.4983;1.1;2;-1.2;-1.5;-1.5;-1
24/06/2024 10:10;0.06;25.4;25.8;65.3;0.5197;0.4983;1.1;2;-1.1;-1.2;-1.5;-1
24/06/2024 10:15;0.04;25.6;25.8;65.8;0.5197;0.4983;1.1;2;-1.1;-1.1;-1.2;-1
24/06/2024 10:20;0.07;25.6;25.9;66;0.5197;0.4983;1.1;2;-1.5;-1.1;-1.1;-1
24/06/2024 10:25;0.05;25.8;26;66.4;0.5197;0.4983;1.1;2;-1.4;-1.5;-1.1;-1
24/06/2024 10:30;0.09;26;26.2;66.3;0.5197;0.4983;1.1;2;-1.5;-1.4;-1.5;-1
24/06/2024 10:35;0.06;26.1;26.4;66.2;0.5197;0.4983;1.1;2;-1.4;-1.5;-1.4;-1
24/06/2024 10:40;0.03;26.2;26.5;66;0.5197;0.4983;1.1;3;-1.4;-1.4;-1.5;-1
24/06/2024 10:45;0.05;26.2;26.6;66.5;0.5197;0.4983;1.1;3;-1.3;-1.4;-1.4;-1
24/06/2024 10:50;0.07;26.2;26.7;66.6;0.5197;0.4983;1.1;3;-1.4;-1.3;-1.4;-1
24/06/2024 10:55;0.04;25;25.9;64.7;0.5197;0.4983;1.1;3;-2;-1.4;-1.3;-1
24/06/2024 11:00;0.05;24.4;25.5;63.7;0.5197;0.4983;1.1;3;-2.1;-2;-1.4;-1
24/06/2024 11:05;0.08;23.7;25.1;60.6;0.5197;0.4983;1.1;3;0.5;-2.1;-2;0
24/06/2024 11:10;0.14;23.5;24.8;59;0.5197;0.4983;1.1;3;0.5;0.5;-2.1;0
24/06/2024 11:15;0.06;23.5;24.6;57.8;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 11:20;0.03;23.3;24.5;56.5;0.5197;0.4983;1.1;1;0.5;0.5;0.5;0
24/06/2024 11:25;0.05;24.2;24.9;60.9;0.5197;0.4983;1.1;1;0.5;0.5;0.5;0
24/06/2024 11:30;0.09;24.9;25.5;64.6;0.5197;0.4983;1.1;1;0.5;0.5;0.5;0
24/06/2024 11:35;0.07;25.2;25.7;65;0.5197;0.4983;1.1;1;-1.2;0.5;0.5;-1
24/06/2024 11:40;0.05;25.7;25.9;65.4;0.5197;0.4983;1.1;1;-1.2;-1.2;0.5;-1
24/06/2024 11:45;0.03;25.9;26.2;65.5;0.5197;0.4983;1.1;1;-1.1;-1.2;-1.2;-1
24/06/2024 11:50;0.06;26.2;26.6;65.2;0.5197;0.4983;1.1;1;-1;-1.1;-1.2;-1
24/06/2024 11:55;0.11;25.1;26.4;64.2;0.5197;0.4983;1.1;1;-1.3;-1;-1.1;-1
24/06/2024 12:00;0.08;24.4;25.9;61.6;0.5197;0.4983;1.1;1;-1.6;-1.3;-1;-1
24/06/2024 12:05;0.03;24.1;25.2;60.2;0.5197;0.4983;1.1;1;-1.7;-1.6;-1.3;-1
24/06/2024 12:10;0.05;23.8;25.3;58.7;0.5197;0.4983;1.1;1;-1.8;-1.7;-1.6;-1
24/06/2024 12:15;0.13;23.4;24.7;57.3;0.5197;0.4983;1.1;1;-1.9;-1.8;-1.7;-1
24/06/2024 12:20;0.03;23.6;25;56.6;0.5197;0.4983;1.1;1;-1.9;-1.9;-1.8;-1
24/06/2024 12:25;0.13;23.5;24.8;55.5;0.5197;0.4983;1.1;1;-1.9;-1.9;-1.9;-1
24/06/2024 12:30;0.09;23.3;24.8;55.3;0.5197;0.4983;1.1;1;-1.9;-1.9;-1.9;-1
24/06/2024 12:35;0.07;24.1;25.3;59.6;0.5197;0.4983;1.1;2;-1.4;-1.9;-1.9;-1
24/06/2024 12:40;0.05;25;25.8;64.1;0.5197;0.4983;1.1;2;0.5;-1.4;-1.9;0
24/06/2024 12:45;0.04;25.4;25.9;64.3;0.5197;0.4983;1.1;2;0.5;0.5;-1.4;0
24/06/2024 12:50;0.03;25.6;26.1;63.9;0.5197;0.4983;1.1;2;0.5;0.5;0.5;0
24/06/2024 12:55;0.05;26.2;26.4;63.9;0.5197;0.4983;1.1;2;0.5;0.5;0.5;0
24/06/2024 13:00;0.16;26.4;26.8;64;0.5197;0.4983;1.1;2;0.5;0.5;0.5;0
24/06/2024 13:05;0.08;26.1;26.2;60.9;0.5197;0.4983;1.1;2;-1.4;0.5;0.5;-1
24/06/2024 13:10;0.11;25.4;25.9;59.8;0.5197;0.4983;1.1;2;-1.6;-1.4;0.5;-1
24/06/2024 13:15;0.13;24.5;25.6;58.6;0.5197;0.4983;1.1;2;-1.7;-1.6;-1.4;-1
24/06/2024 13:20;0.14;23.8;25.2;58.1;0.5197;0.4983;1.1;2;-1.8;-1.7;-1.6;-1
24/06/2024 13:25;0.09;23.4;25;56.5;0.5197;0.4983;1.1;2;0.5;-1.8;-1.7;0
24/06/2024 13:30;0.05;23.3;24.8;55.6;0.5197;0.4983;1.1;2;0.5;0.5;-1.8;0
24/06/2024 13:35;0.04;23;24.4;55;0.5197;0.4983;1.1;2;0.5;0.5;0.5;0
24/06/2024 13:40;0.12;23.5;24.5;56;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 13:45;0.06;24.4;24.9;61.7;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 13:50;0.05;24.8;25.3;62.6;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 13:55;0.14;25.4;25.7;63.8;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 14:00;0.11;25.7;25.9;63.7;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 14:05;0.08;25.9;26.2;63.9;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 14:10;0.07;25.9;26.1;65.2;0.5197;0.4983;1.1;3;0.5;0.5;0.5;0
24/06/2024 14:15;0.05;26.1;26.3;65.6;0.5197;0.4983;1.1;3;0.97;0.5;0.5;0
24/06/2024 14:20;0.03;26.1;26.4;66.5;0.5197;0.4983;1.1;3;0.93;0.97;0.5;0
24/06/2024 14:25;0.04;26.2;26.6;66.3;0.5197;0.4983;1.1;3;0.92;0.93;0.97;0
24/06/2024 14:30;0.16;26.5;26.7;66.6;0.5197;0.4983;1.1;3;0.83;0.92;0.93;0
24/06/2024 14:35;0.09;26.8;27.1;66.4;0.5197;0.4983;1.1;3;0.72;0.83;0.92;0
24/06/2024 14:40;0.03;27;27.3;65.8;0.5197;0.4983;1.1;3;0.65;0.72;0.83;1
24/06/2024 14:45;0.08;27.1;27.4;66.3;0.5197;0.4983;1.1;3;0.69;0.65;0.72;1
24/06/2024 14:50;0.11;27.1;27.3;66.3;0.5197;0.4983;1.1;3;0.68;0.69;0.65;1
24/06/2024 14:55;0.04;27.3;27.4;66.3;0.5197;0.4983;1.1;3;0.67;0.68;0.69;1
24/06/2024 15:00;0.07;27.5;27.5;66.3;0.5197;0.4983;1.1;3;0.66;0.67;0.68;1
24/06/2024 15:05;0.06;27.3;27.4;66.3;0.5197;0.4983;1.1;3;1;0.66;0.67;1
24/06/2024 15:10;0.05;27.1;27.2;67;0.5197;0.4983;1.1;3;1;1;0.66;1
24/06/2024 15:15;0.09;27.1;27.2;67.2;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:20;0.03;27.1;27.2;67.4;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:25;0.07;27.2;27.3;67.7;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:30;0.13;27.2;27.4;67.6;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:35;0.06;27.2;27.3;67.4;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:40;0.12;27.1;27.3;68.2;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:45;0.13;27.1;27.3;68.2;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:50;0.06;27.1;27.4;68.2;0.5197;0.4983;1.1;3;1;1;1;1
24/06/2024 15:55;0.09;25.9;26.7;64;0.5197;0.4983;1.1;3;-1.3;1;1;-1
24/06/2024 16:00;0.07;25.5;26.4;62.4;0.5197;0.4983;1.1;3;-1.8;-1.3;1;-2
24/06/2024 16:05;0.11;25.2;26.1;61.3;0.5197;0.4983;1.1;3;-1.6;-1.8;-1.3;-2
24/06/2024 16:10;0.05;24.7;25.7;59.6;0.5197;0.4983;1.1;3;-1.8;-1.6;-1.8;-2
24/06/2024 16:15;0.08;24.1;25.4;58.7;0.5197;0.4983;1.1;3;-1.9;-1.8;-1.6;-2
24/06/2024 16:20;0.14;23.7;25.2;57.5;0.5197;0.4983;1.1;3;-1.9;-1.9;-1.8;-2
24/06/2024 16:25;0.09;23.5;24.9;57.2;0.5197;0.4983;1.1;3;-2;-1.9;-1.9;-2
24/06/2024 16:30;0.05;23.4;24.6;55.9;0.5197;0.4983;1.1;3;-2.1;-2;-1.9;-2
24/06/2024 16:35;0.03;23.4;24.6;56.1;0.5197;0.4983;1.1;3;-2.2;-2.1;-2;-2
24/06/2024 16:40;0.04;23.2;24.4;55.5;0.5197;0.4983;1.1;3;-2.3;-2.2;-2.1;-2
24/06/2024 16:45;0.07;23;24.3;55.7;0.5197;0.4983;1.1;3;-2.2;-2.3;-2.2;-2
24/06/2024 16:50;0.06;23.1;24.3;55.8;0.5197;0.4983;1.1;3;-2.3;-2.2;-2.3;-2
24/06/2024 16:55;0.05;22.8;24.1;56.1;0.5197;0.4983;1.1;3;-2.4;-2.3;-2.2;-2
24/06/2024 17:00;0.08;23.3;24;56.4;0.5197;0.4983;1.1;3;-2.3;-2.4;-2.3;-2
25/06/2024 08:00;0.06;25;25.1;72.5;0.5197;0.4983;1.1;1;1.2;-2.3;-2.4;1
25/06/2024 08:05;0.09;25.3;25.2;73.2;0.5197;0.4983;1.1;1;1.2;1.2;-2.3;1
25/06/2024 08:10;0.07;25.2;25.1;73.1;0.5197;0.4983;1.1;1;1.2;1.2;1.2;1
25/06/2024 08:15;0.04;25.5;25.3;71.7;0.5197;0.4983;1.1;1;1.1;1.2;1.2;1
25/06/2024 08:20;0.03;25.6;25.4;71.7;0.5197;0.4983;1.1;1;1;1.1;1.2;1
25/06/2024 08:25;0.05;25.7;25.6;71.2;0.5197;0.4983;1.1;1;1;1;1.1;1
25/06/2024 08:30;0.08;25.8;25.6;70.4;0.5197;0.4983;1.1;1;1;1;1;1
25/06/2024 08:35;0.06;25.9;25.8;70.5;0.5197;0.4983;1.1;1;0.97;1;1;0
25/06/2024 08:40;0.04;26;25.9;70.2;0.5197;0.4983;1.1;1;0.93;0.97;1;0
25/06/2024 08:45;0.11;26.1;25.9;69.6;0.5197;0.4983;1.1;1;0.91;0.93;0.97;0
25/06/2024 08:50;0.14;26.1;25.8;69.8;0.5197;0.4983;1.1;1;0.88;0.91;0.93;0
25/06/2024 08:55;0.05;26.2;25.7;69.5;0.5197;0.4983;1.1;2;0.87;0.88;0.91;0
25/06/2024 09:00;0.07;26.1;25.8;69.2;0.5197;0.4983;1.1;2;0.92;0.87;0.88;1
25/06/2024 09:05;0.04;25;25.1;64.7;0.5197;0.4983;1.1;2;-1.4;0.92;0.87;-1
25/06/2024 09:10;0.03;24.8;24.7;63;0.5197;0.4983;1.1;2;-1.3;-1.4;0.92;-1
25/06/2024 09:15;0.05;25.1;24.8;63.3;0.5197;0.4983;1.1;2;-1.2;-1.3;-1.4;-1
25/06/2024 09:20;0.06;25.1;24.8;62.4;0.5197;0.4983;1.1;2;-1.1;-1.2;-1.3;-1
25/06/2024 09:25;0.09;25;25.5;62.2;0.5197;0.4983;1.1;2;-1.1;-1.1;-1.2;-1
25/06/2024 09:30;0.04;25.7;25.3;64.6;0.5197;0.4983;1.1;2;-1;-1.1;-1.1;-1
25/06/2024 09:35;0.08;25.6;25.2;68.6;0.5197;0.4983;1.1;2;-1;-1;-1.1;-1
25/06/2024 09:40;0.16;25.6;25.3;69.1;0.5197;0.4983;1.1;2;-1.1;-1;-1;-1
25/06/2024 09:45;0.06;25.7;25.4;69.5;0.5197;0.4983;1.1;3;-1;-1.1;-1;-1
25/06/2024 09:50;0.07;25.9;25.8;69;0.5197;0.4983;1.1;4;-1.4;-1;-1.1;-1
25/06/2024 09:55;0.11;25.9;25.9;68.8;0.5197;0.4983;1.1;4;-1.4;-1.4;-1;-1
25/06/2024 10:00;0.09;26.2;26.4;68.8;0.5197;0.4983;1.1;4;-1.7;-1.4;-1.4;-1
